task_type,dataset,model,clip_model,num_clients,beta,seed,method,merge_weight_mode,merged_checkpoint,meta_path
small,bloodmnist_224,resnet,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0p1/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_3/beta_0p1/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0p01/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0p01/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0p1/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_5/beta_0p1/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,7,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,7,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0p01/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0p01/seed_42/my_merge/meta.json
small,bloodmnist_224,resnet,,7,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0p1/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/bloodmnist_224/resnet/clients_7/beta_0p1/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0p01/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0p01/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0p1/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_3/beta_0p1/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0p01/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0p01/seed_42/my_merge/meta.json
small,chaoshengmnist_224,resnet,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0p1/seed_42/my_merge/merged.pt,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_hparam_sensitivity_20260515_170100/stats4_eval4_bn2/merged/small/chaoshengmnist_224/resnet/clients_5/beta_0p1/seed_42/my_merge/meta.json
